squidpony.epigon.data.raw.RawWeapon	name																													
name	description	glyph:c	kind	usage	hands:i	type1	type2	group1	group2	shape	path	maneuver1	maneuver2	status1	status2	precision:i	damage:i	crit:i	influence:i	evasion:i	defense:i	luck:i	stealth:i	range:i	area:i	prepare:i		materials:s[,]	training:s[,]	culture:s[,]
knuckles	An improvement over being unarmed, these metal rings augment their holder's punches nicely.	ɱ	Melee	Repeat	1	BLUNT	BLUNT	Dueling	Dueling	Multi	Straight	Yank	Sweep	Disarm	Confound	4	2	4	3	2	0	3	6	0	0	6	=SUM(Q3:X3)+AA3+2*SUM(Y3:Z3)	Metal	Martial Arts	Ugexiir
longsword	Longswords have good accuracy, damage, and parrying ability, helping their bearer excel in every battle.	†	Melee	Repeat	1	SLASHING	SLASHING	Blade	Blade	Sweep	Straight	Parry	Thrust	Disarm	Sever	4	7	1	2	2	5	3	0	0	1	4	=SUM(Q4:X4)+AA4+2*SUM(Y4:Z4)	Metal	Swordplay,Elegance	Jalgeaux,Chobesh
katana	A curved blade attributed mystical power that can make effortless quick slices with impressive accuracy.	†	Melee	Repeat	1	SLASHING	SLASHING	Blade	Dueling	Sweep	Straight	Sweep	Blur	Sever	Bleed	5	5	1	1	5	0	3	0	0	2	6	=SUM(Q5:X5)+AA5+2*SUM(Y5:Z5)	Metal	Swordplay,Elegance	Otekai,Ninja
broadsword	A wide-bladed two-handed sword that mixes the savagery of an axe with the precision of a sword.	†	Melee	Repeat	2	SLASHING	SLASHING	Blade	Blade	Sweep	Straight	Sweep	Chop	Sever	Slay	3	9	3	2	1	3	3	0	0	2	2	=SUM(Q6:X6)+AA6+2*SUM(Y6:Z6)	Metal	Swordplay	Hyrden,Otekai
rapier	An elegant dueling weapon that is sharp all along its blade; ideal for thrusting attacks and parries.	†	Melee	Repeat	1	PIERCING	PIERCING	Blade	Dueling	Multi	Straight	Parry	Lunge	Impale	Slay	6	3	2	1	6	0	3	1	1	0	6	=SUM(Q7:X7)+AA7+2*SUM(Y7:Z7)	Metal	Swordplay,Elegance	Jalgeaux,Elethian
shortsword	Not quite a knife or a sword, Shortswords are heavier than they look, but can still be swung quickly.	▶	Melee	Repeat	1	SLASHING	PIERCING	Blade	Dueling	Multi	Straight	Parry	Chop	Silence	Impale	5	5	2	1	5	1	3	3	0	0	5	=SUM(Q8:X8)+AA8+2*SUM(Y8:Z8)	Metal	Swordplay	Bididhayi,Khainghal
carving knife	This sharpened chef's implement is just as good at slicing up a steak as it is slashing living flesh.	▶	Melee	Repeat	1	PIERCING	SLASHING	Dueling	Dueling	Multi	Straight	Parry	Hurl	Impale	Silence	6	2	3	3	5	0	0	5	0	0	6	=SUM(Q9:X9)+AA9+2*SUM(Y9:Z9)	Metal|Stone	Swordplay,Assassination	Mobyuld,Laathrik
handaxe	Some call them tomahawks, others hunga munga; this is a throwing axe by any name.	⚑	Melee	Repeat	1	SLASHING	SLASHING	Axe	Axe	Multi	Straight	Chop	Hurl	Sever	Disable	3	5	7	1	3	1	5	1	0	0	4	=SUM(Q10:X10)+AA10+2*SUM(Y10:Z10)	Metal|Stone,Wood	Brutality,Naturalism	Krort,Mbegonda
hatchet	A medium-sized axe balanced for carving wood rather than throwing, it can carve flesh just as well.	⚑	Melee	Repeat	1	SLASHING	SLASHING	Axe	Axe	Sweep	Straight	Chop	Heft	Sever	Sunder	2	7	8	1	2	2	5	0	0	0	3	=SUM(Q11:X11)+AA11+2*SUM(Y11:Z11)	Metal|Stone,Wood	Brutality,Naturalism	Ugexiir,Mbegonda
greataxe	It's hard to beat this two-handed axe when it comes to overkill; the destruction these wreak is legendary.	⚑	Melee	Repeat	2	SLASHING	SLASHING	Axe	Axe	Sweep	Straight	Chop	Heft	Sever	Sunder	1	9	6	1	0	4	5	0	0	1	2	=SUM(Q12:X12)+AA12+2*SUM(Y12:Z12)	Metal,Wood	Brutality	Krort,Ugexiir
halberd	It's an axe on a pole, the pole ends in a spear, and there's also a hook on the pole; clearly this is versatile.	↟	Melee	Repeat	2	SLASHING	PIERCING	Polearm	Axe	Multi	Straight	Chop	Brace	Sever	Trip	3	7	5	3	0	4	3	0	1	0	3	=SUM(Q13:X13)+AA13+2*SUM(Y13:Z13)	Metal,Wood	Elegance,Foresight	Keungeuh,Jalgeaux
glaive	Anything blade-like attached to the end of a pole, for sweeping slices at a comfortable distance.	↑	Melee	Repeat	2	SLASHING	PIERCING	Polearm	Blade	Sweep	Straight	Sweep	Brace	Bleed	Sever	5	8	2	1	2	5	0	0	1	1	3	=SUM(Q14:X14)+AA14+2*SUM(Y14:Z14)	Metal,Wood	Foresight	Otekai,Chobesh
cape	Among the least effective ways to kill someone, but great for confusing or disarming foes while keeping your hands free.	⍝	Melee	Repeat	0	BLUNT	BLUNT	Flexible	Flexible	Sweep	Straight	Blur	Yank	Confound	Disarm	2	1	0	6	6	0	2	3	0	2	6	=SUM(Q15:X15)+AA15+2*SUM(Y15:Z15)	Cloth	Elegance,Whirling Death	Jalgeaux
hammer	A heavy one-handed tool converted into a weapon of war that is especially strong against armor.	⊤	Melee	Repeat	1	BLUNT	BLUNT	Bludgeon	Bludgeon	Multi	Straight	Pound	Heft	Sunder	Confound	4	7	4	2	0	8	2	1	0	0	2	=SUM(Q16:X16)+AA16+2*SUM(Y16:Z16)	Metal|Stone	Brutality	Keungeuh
maul	A brutal two-handed sledgehammer that seems impractical against all but the slowest foes -- or monsters.	⊤	Melee	Repeat	2	BLUNT	BLUNT	Bludgeon	Bludgeon	Multi	Straight	Pound	Heft	Sunder	Trip	2	9	5	2	0	9	2	0	0	0	1	=SUM(Q17:X17)+AA17+2*SUM(Y17:Z17)	Metal|Stone	Brutality	Krort,Keungeuh
club	A plain-old heavy stick that can be swung with surprising speed, and can be passed off as a normal twig.	╿	Melee	Repeat	1	BLUNT	BLUNT	Bludgeon	Bludgeon	Multi	Straight	Pound	Hurl	Trip	Disarm	3	3	1	2	2	4	5	5	0	0	5	=SUM(Q18:X18)+AA18+2*SUM(Y18:Z18)	Wood	Brutality,Naturalism	Mbegonda,Ninja
mace	Not just any stick, this one's made of solid metal, and can pulverize armor with a good wallop.	╿	Melee	Repeat	1	BLUNT	BLUNT	Bludgeon	Bludgeon	Multi	Straight	Parry	Pound	Disarm	Confound	4	5	3	1	0	9	4	0	0	0	4	=SUM(Q19:X19)+AA19+2*SUM(Y19:Z19)	Metal|Stone	Brutality	Hyrden,Cheuritae
pole	Whether an collapsible pole or just a piece of bamboo, a Pole is excellent at whacking multiple foes.	|	Melee	Repeat	2	BLUNT	BLUNT	Polearm	Bludgeon	Sweep	Straight	Sweep	Lunge	Trip	Confound	4	3	2	2	1	4	4	0	1	2	4	=SUM(Q20:X20)+AA20+2*SUM(Y20:Z20)	Wood	Foresight	Mbegonda,Zedmedov
taiaha	An unusual mix of a spear's pointed tip with a shield-shaped haft, usually made entirely from hard wood.	⌽	Melee	Repeat	2	BLUNT	PIERCING	Polearm	Dueling	Beam	Straight	Parry	Pound	Trip	Confound	5	4	2	1	4	5	6	0	0	0	3	=SUM(Q21:X21)+AA21+2*SUM(Y21:Z21)	Wood	Foresight,Naturalism	Hueztotli,Cheuritae
shortspear	Lighter than a Lance and heavier than a Javelin, a Shortspear can be effectively wielded at close to medium range.	↑	Melee	Repeat	1	PIERCING	PIERCING	Polearm	Polearm	Beam	Straight	Brace	Hurl	Impale	Disable	5	4	1	2	6	4	3	0	1	0	3	=SUM(Q22:X22)+AA22+2*SUM(Y22:Z22)	Wood,Metal	Foresight,Naturalism	Mbegonda,Hueztotli
lance	An uncommon weapon, the Lance can't attack a close-by enemy but can annihilate further-away foes.	↑	Melee	Repeat	2	PIERCING	PIERCING	Polearm	Polearm	Beam	Straight	Brace	Lunge	Impale	Slay	2	7	1	2	3	4	2	0	2	2	1	=SUM(Q23:X23)+AA23+2*SUM(Y23:Z23)	Wood,Metal	Foresight	Hyrden,Chobesh
leaf spear	A heavier mid-length spear with a broad leaf-shaped blade at the end; it can be used for slicing and stabbing alike.	⍋	Melee	Repeat	2	PIERCING	SLASHING	Polearm	Polearm	Sweep	Straight	Thrust	Sweep	Impale	Bleed	2	8	3	2	2	4	3	0	1	1	2	=SUM(Q24:X24)+AA24+2*SUM(Y24:Z24)	Metal,Wood	Foresight	Mbegonda
nunchaku	A martial-arts weapon consisting of two club-like bars connected with a short chain; excellent for defensive use.	⋀	Melee	Repeat	1	BLUNT	BLUNT	Bludgeon	Flexible	Sweep	Straight	Parry	Blur	Confound	Disarm	5	2	0	2	6	2	2	5	0	1	4	=SUM(Q25:X25)+AA25+2*SUM(Y25:Z25)	Wood	Martial Arts,Whirling Death	Ninja
section staff	A series of three or more wooden rods connected with chains; originally meant for threshing rice but deadly when swung.	⋀	Melee	Repeat	2	BLUNT	BLUNT	Bludgeon	Flexible	Sweep	Straight	Parry	Sweep	Confound	Trip	4	4	0	2	6	4	2	0	0	2	4	=SUM(Q26:X26)+AA26+2*SUM(Y26:Z26)	Wood	Martial Arts,Whirling Death	Ninja,Keungeuh
hand flail	A nasty spiked ball whipped around on a heavy chain; it's simply brutal against armored foes.	!	Melee	Repeat	1	BLUNT	BLUNT	Bludgeon	Flexible	Sweep	Straight	Sweep	Yank	Disarm	Trip	3	7	6	4	0	6	0	0	0	1	2	=SUM(Q27:X27)+AA27+2*SUM(Y27:Z27)	Metal|Stone,Wood	Whirling Death,Brutality	Krort,Chobesh
